zip,city,county,region,policies,prior_policies,change_pct,direction,yoy_change_pct,yoy_direction
93446,Paso Robles,San Luis Obispo,Southern CA,824,834,-1.2,down,47.8,up
94708,Berkeley,Alameda,Northern CA,824,761,8.3,up,79.0,up
96022,Cottonwood,Tehama,Northern CA,816,788,3.6,up,21.1,up
95634,Georgetown,El Dorado,Northern CA,812,817,-0.6,down,18.8,up
92886,Yorba Linda,Orange,Southern CA,811,803,1.0,up,77.3,up
91344,Granada Hills,Los Angeles,Southern CA,809,784,3.2,up,48.7,up
92585,Sun City,Riverside,Southern CA,799,728,9.8,up,146.4,up
93422,Atascadero,San Luis Obispo,Southern CA,796,826,-3.6,down,53.5,up
91316,Encino,Los Angeles,Southern CA,793,796,-0.4,flat,53.1,up
92067,Rancho Santa Fe,San Diego,Southern CA,791,806,-1.9,down,84.6,up
92301,Adelanto,San Bernardino,Southern CA,790,736,7.3,up,80.2,up
91016,Monrovia,Los Angeles,Southern CA,785,749,4.8,up,37.8,up
93285,Wofford Heights,Kern,Southern CA,784,792,-1.0,down,5.6,up
95379,Tuolumne,Tuolumne,Northern CA,782,775,0.9,up,4.7,up
92618,Irvine,Orange,Southern CA,780,753,3.6,up,136.7,up
91307,West Hills,Los Angeles,Southern CA,778,764,1.8,up,40.3,up
93240,Lake Isabella,Kern,Southern CA,776,764,1.6,up,18.2,up
91702,Azusa,Los Angeles,Southern CA,774,745,3.9,up,54.8,up
95623,El Dorado,El Dorado,Northern CA,774,785,-1.4,down,25.0,up
95346,Mi Wuk Village,Tuolumne,Northern CA,773,774,-0.1,flat,9.1,up
95614,Cool,El Dorado,Northern CA,769,779,-1.3,down,21.7,up
92675,San Juan Capistrano,Orange,Southern CA,767,731,4.9,up,107.7,up
93001,Ventura,Ventura,Southern CA,765,741,3.2,up,43.7,up
92672,San Clemente,Orange,Southern CA,764,713,7.2,up,103.1,up
95684,Somerset,El Dorado,Northern CA,763,774,-1.4,down,4.5,up
92126,San Diego,San Diego,Southern CA,762,743,2.6,up,80.8,up
90032,Los Angeles,Los Angeles,Southern CA,761,762,-0.1,flat,29.5,up
91773,San Dimas,Los Angeles,Southern CA,758,735,3.1,up,57.7,up
91741,Glendora,Los Angeles,Southern CA,755,722,4.6,up,51.4,up
93265,Springville,Tulare,Northern CA,754,738,2.2,up,22.8,up
90033,Los Angeles,Los Angeles,Southern CA,751,751,0.0,flat,17.5,up
92539,Anza,Riverside,Southern CA,749,746,0.4,flat,21.1,up
91360,Thousand Oaks,Ventura,Southern CA,742,735,1.0,up,75.0,up
95073,Soquel,Santa Cruz,Northern CA,741,739,0.3,flat,89.3,up
95252,Valley Springs,Calaveras,Northern CA,728,746,-2.4,down,22.4,up
92508,Riverside,Riverside,Southern CA,726,689,5.4,up,177.1,up
95409,Santa Rosa,Sonoma,Northern CA,722,731,-1.2,down,97.5,up
92308,Apple Valley,San Bernardino,Southern CA,721,668,7.9,up,73.5,up
92881,Corona,Riverside,Southern CA,715,680,5.1,up,66.6,up
95070,Saratoga,Santa Clara,Northern CA,714,719,-0.7,down,69.8,up
95650,Loomis,Placer,Northern CA,714,725,-1.5,down,38.7,up
