city,county,zip_count,zips,policies,prior_policies,change_pct,direction,yoy_change_pct,yoy_direction
Coalinga,Fresno,1,93210,63,56,12.5,up,100.0,up
Lamont,Kern,1,93241,63,57,10.5,up,137.5,up
Cayucos,San Luis Obispo,1,93430,62,54,14.8,up,50.0,up
Stinson Beach,Marin,1,94970,62,56,10.7,up,80.6,up
Exeter,Tulare,1,93221,61,52,17.3,up,67.7,up
Parker Dam,San Bernardino,1,92267,61,50,22.0,up,127.3,up
Manchester,Mendocino,1,95459,60,58,3.4,up,7.4,up
Miramonte,Fresno,1,93641,60,58,3.4,up,3.6,up
Patterson,Stanislaus,1,95363,60,65,-7.7,down,66.7,up
Turlock,Stanislaus,2,"95380,95382",60,65,-7.7,down,103.1,up
Bayside,Humboldt,1,95524,59,50,18.0,up,31.6,up
El Portal,Mariposa,1,95318,59,59,0.0,flat,3.5,up
Lee Vining,Mono,1,93541,59,59,0.0,flat,51.3,up
Mad River,Trinity,1,95552,59,58,1.7,up,5.5,up
Port Hueneme,Ventura,1,93041,59,54,9.3,up,125.0,up
American Canyon,Napa,1,94503,58,56,3.6,up,93.1,up
Forest Knolls,Marin,1,94933,58,54,7.4,up,10.2,up
Glencoe,Calaveras,1,95232,57,56,1.8,up,9.8,up
Hermosa Beach,Los Angeles,1,90254,57,57,0.0,flat,90.0,up
Winters,Yolo,1,95694,57,51,11.8,up,10.9,up
Amador City,Amador,1,95601,56,51,9.8,up,27.5,up
Shafter,Kern,1,93263,56,50,12.0,up,150.0,up
Echo Lake,El Dorado,1,95721,55,55,0.0,flat,-3.5,down
Mountain View,Santa Clara,3,"94040,94043,94041",55,48,14.6,up,100.0,up
Paicines,San Benito,1,95043,55,58,-5.2,down,11.5,up
Bridgeville,Trinity,1,95526,54,50,8.0,up,-5.7,down
Chilcoot,Plumas,1,96105,54,52,3.8,up,33.3,up
Mcarthur,Lassen,1,96056,54,52,3.8,up,2.0,up
Imperial Beach,San Diego,1,91932,53,56,-5.4,down,93.1,up
Badger,Tulare,1,93603,52,53,-1.9,down,-7.0,down
Lagunitas,Marin,1,94938,52,49,6.1,up,14.0,up
Selma,Fresno,1,93662,52,49,6.1,up,75.0,up
West Sacramento,Yolo,2,"95691,95605",52,51,2.0,up,24.4,up
Yorkville,Mendocino,1,95494,52,53,-1.9,down,17.8,up
Brisbane,San Mateo,1,94005,51,44,15.9,up,76.0,up
O Neals,Madera,1,93645,51,53,-3.8,down,20.5,up
Capistrano Beach,Orange,1,92624,50,42,19.0,up,200.0,up
Kneeland,Humboldt,1,95549,50,53,-5.7,down,8.2,up
Mecca,Riverside,1,92254,50,44,13.6,up,175.0,up
Point Arena,Mendocino,1,95468,50,48,4.2,up,14.3,up
Imperial,Imperial,1,92251,49,41,19.5,up,41.4,up
Pacific Grove,Monterey,1,93950,49,46,6.5,up,187.5,up
Sierraville,Sierra,1,96126,49,50,-2.0,down,22.0,up
Glenhaven,Lake,1,95443,48,43,11.6,up,19.4,up
Los Alamos,Santa Barbara,1,93440,48,47,2.1,up,14.6,up
Gold Run,Placer,1,95717,47,47,0.0,flat,0.0,flat
Palermo,Butte,1,95968,47,47,0.0,flat,74.1,up
Wasco,Kern,1,93280,47,41,14.6,up,86.4,up
Ross,Marin,1,94957,46,43,7.0,up,48.3,up
Challenge,Yuba,1,95925,45,48,-6.2,down,4.3,up
Covelo,Mendocino,1,95428,45,45,0.0,flat,0.0,flat
El Granada,San Mateo,1,94018,45,31,45.2,up,121.4,up
Nicasio,Marin,1,94946,45,41,9.8,up,7.9,up
Orland,Glenn,1,95963,45,33,36.4,up,37.5,up
Orleans,Humboldt,1,95556,45,43,4.7,up,16.2,up
Reedley,Fresno,1,93654,45,43,4.7,up,34.4,up
Camp Meeker,Sonoma,1,95419,44,41,7.3,up,17.1,up
Coleville,Mono,1,96107,43,41,4.9,up,32.3,up
Playa Del Rey,Los Angeles,1,90293,43,44,-2.3,down,63.0,up
Scotia,Humboldt,1,95565,43,31,38.7,up,47.6,up
Castella,Shasta,1,96017,42,39,7.7,up,0.0,flat
French Gulch,Shasta,1,96033,42,43,-2.3,down,7.5,up
Montara,San Mateo,1,94037,42,42,0.0,flat,100.0,up
San Lorenzo,Alameda,1,94580,42,38,10.5,up,153.3,up
Seaside,Monterey,1,93955,41,44,-6.8,down,100.0,up
Signal Hill,Los Angeles,1,90755,41,40,2.5,up,29.0,up
Boron,Kern,1,93516,40,32,25.0,up,52.4,up
Burson,Calaveras,1,95225,40,43,-7.0,down,2.4,up
Camp Nelson,Tulare,1,93208,40,43,-7.0,down,-20.4,down
Ferndale,Humboldt,1,95536,40,32,25.0,up,28.0,up
Taylorsville,Plumas,1,95983,40,39,2.6,up,0.0,flat
Fair Oaks,Sacramento,1,95628,39,42,-7.1,down,55.6,up
Firebaugh,Fresno,1,93622,39,39,0.0,flat,-7.1,down
Hoopa,Humboldt,1,95546,39,36,8.3,up,38.5,up
Lone Pine,Inyo,1,93545,39,32,21.9,up,33.3,up
Ranchita,San Diego,1,92066,39,40,-2.5,down,33.3,up
Smith River,Del Norte,1,95567,39,38,2.6,up,153.3,up
Villa Park,Orange,1,92861,39,31,25.8,up,158.3,up
Bolinas,Marin,1,94924,38,35,8.6,up,66.7,up
Seal Beach,Orange,1,90740,38,35,8.6,up,150.0,up
Bethel Island,Contra Costa,1,94511,37,40,-7.5,down,8.1,up
Dinuba,Tulare,1,93618,37,30,23.3,up,130.8,up
Jacumba,San Diego,1,91934,37,37,0.0,flat,19.4,up
Klamath River,Siskiyou,1,96050,37,32,15.6,up,10.3,up
Los Molinos,Tehama,1,96055,37,40,-7.5,down,48.1,up
Yermo,San Bernardino,1,92398,37,28,32.1,up,115.4,up
Grover Beach,San Luis Obispo,1,93433,36,33,9.1,up,175.0,up
Midway City,Orange,1,92655,36,31,16.1,up,158.3,up
Caspar,Mendocino,1,95420,35,31,12.9,up,24.0,up
Paynes Creek,Tehama,1,96075,35,39,-10.3,down,5.4,up
Suisun City,Solano,1,94585,35,36,-2.8,down,44.0,up
Woodland,Yolo,2,"95776,95695",35,39,-10.3,down,56.0,up
Carmichael,Sacramento,1,95608,34,40,-15.0,down,90.5,up
Davis,Yolo,2,"95618,95616",34,32,6.2,up,220.0,up
Petrolia,Humboldt,1,95558,34,34,0.0,flat,-5.6,down
Wheatland,Yuba,1,95692,34,32,6.2,up,52.4,up
Klamath,Del Norte,1,95548,33,28,17.9,up,33.3,up
Milford,Lassen,1,96121,33,31,6.5,up,40.9,up
Glennville,Kern,1,93226,32,30,6.7,up,3.4,up
Rackerby,Yuba,1,95972,32,32,0.0,flat,-5.9,down
Rio Linda,Sacramento,1,95673,32,31,3.2,up,40.9,up
Soledad,Monterey,1,93960,32,29,10.3,up,26.1,up
Callahan,Siskiyou,1,96014,31,29,6.9,up,7.4,up
Campbell,Santa Clara,1,95008,31,35,-11.4,down,118.8,up
