effective_date,geo_type,geo_id,geo_name,status,source_id
2025-03-06,zip,91390,91390,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92322,92322,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93022,93022,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93285,93285,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93522,93522,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93667,93667,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94516,94516,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94964,94964,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95225,95225,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95372,95372,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91759,91759,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92325,92325,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93023,93023,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93287,93287,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93529,93529,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93669,93669,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94558,94558,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94965,94965,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95226,95226,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95375,95375,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91901,91901,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92333,92333,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93024,93024,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93401,93401,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93531,93531,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93675,93675,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94559,94559,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94966,94966,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95228,95228,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95379,95379,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,91905,91905,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,92339,92339,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93030,93030,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93402,93402,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93532,93532,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,93901,93901,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94562,94562,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,94970,94970,distressed,cdi_distressed_geographies_2025
2025-03-06,zip,95229,95229,distressed,cdi_distressed_geographies_2025
