zip,county,fair_plan_flag,cdi_flag,agree,fhsz_high_pct,total_policies_2023,fair_policies_current,penetration_pct,meets_criteria
91786,San Bernardino,0,0,1,10.0,9718,163,1.7,0
91789,Los Angeles,0,0,1,11.9,11936,968,8.1,0
91790,Los Angeles,0,0,1,0.0,9959,255,2.6,0
91791,Los Angeles,0,0,1,23.2,7428,472,6.4,0
91792,Los Angeles,0,0,1,5.6,5381,211,3.9,0
91801,Los Angeles,0,0,1,0.0,7954,374,4.7,0
91803,Los Angeles,0,0,1,0.0,6579,239,3.6,0
91901,San Diego,1,1,1,53.1,4877,3024,62.0,1
91902,San Diego,0,0,1,6.8,5023,202,4.0,0
91905,San Diego,1,1,1,66.3,426,222,52.1,1
91906,San Diego,1,1,1,43.1,955,522,54.7,1
91910,San Diego,0,0,1,0.0,13861,289,2.1,0
91911,San Diego,0,0,1,2.6,13762,250,1.8,0
91913,San Diego,0,0,1,3.0,11247,451,4.0,0
91914,San Diego,0,0,1,41.7,4139,533,12.9,0
91915,San Diego,0,0,1,39.1,6121,396,6.5,0
91916,San Diego,1,1,1,50.8,674,430,63.8,1
91917,San Diego,1,1,1,69.0,153,86,56.2,1
91931,San Diego,1,1,1,17.3,38,82,215.8,1
91932,San Diego,0,0,1,0.0,4781,47,1.0,0
91934,San Diego,1,1,1,32.3,203,43,21.2,1
91935,San Diego,1,1,1,83.9,2666,1635,61.3,1
91941,San Diego,0,0,1,1.7,9511,207,2.2,0
91942,San Diego,0,0,1,0.0,7495,107,1.4,0
91945,San Diego,0,0,1,0.5,6344,99,1.6,0
91950,San Diego,0,0,1,0.0,7702,134,1.7,0
91962,San Diego,1,1,1,27.2,826,513,62.1,1
91963,San Diego,1,1,1,68.4,146,84,57.5,1
91977,San Diego,0,0,1,4.5,12847,646,5.0,0
91978,San Diego,0,0,1,37.4,2189,419,19.1,1
91980,San Diego,1,1,1,97.4,27,7,25.9,1
92003,San Diego,0,0,1,96.6,1495,469,31.4,1
92004,San Diego,0,0,1,7.7,1860,94,5.1,0
92007,San Diego,0,0,1,5.9,3298,68,2.1,0
92008,San Diego,0,0,1,3.7,6478,147,2.3,0
92009,San Diego,0,0,1,29.1,11731,1079,9.2,0
92010,San Diego,0,0,1,44.6,4663,223,4.8,0
92011,San Diego,0,0,1,0.0,6658,235,3.5,0
92014,San Diego,0,0,1,52.5,4331,225,5.2,0
92019,San Diego,0,0,1,47.1,10257,1851,18.0,1
92020,San Diego,0,0,1,13.2,9767,259,2.7,0
92021,San Diego,0,0,1,76.6,12268,1790,14.6,0
92024,San Diego,0,0,1,30.5,14513,630,4.3,0
92025,San Diego,0,0,1,53.4,7972,679,8.5,0
92026,San Diego,0,0,1,79.6,12615,2806,22.2,1
92027,San Diego,0,0,1,87.3,11661,1435,12.3,0
92028,San Diego,0,0,1,86.9,14795,3882,26.2,1
92029,San Diego,0,0,1,76.2,6520,1118,17.1,1
92036,San Diego,1,1,1,63.3,1726,1096,63.5,1
92037,San Diego,0,0,1,34.0,9793,416,4.2,0
92040,San Diego,0,0,1,62.0,10429,1803,17.3,1
92054,San Diego,0,0,1,0.1,8060,254,3.2,0
92056,San Diego,0,0,1,5.2,15653,373,2.4,0
92057,San Diego,0,0,1,0.3,14519,908,6.3,0
92058,San Diego,0,0,1,4.2,4085,391,9.6,0
92059,San Diego,1,1,1,51.2,139,83,59.7,1
92060,San Diego,1,1,1,42.8,186,131,70.4,1
92061,San Diego,1,1,1,62.5,603,283,46.9,1
92064,San Diego,0,0,1,71.9,13232,1621,12.3,0
92065,San Diego,1,1,1,70.4,9794,3880,39.6,1
92066,San Diego,1,1,1,81.6,136,44,32.4,1
92067,San Diego,0,0,1,98.9,3099,791,25.5,1
92069,San Diego,0,0,1,55.6,10012,937,9.4,0
92070,San Diego,1,1,1,57.6,269,138,51.3,1
92071,San Diego,0,0,1,48.4,14020,1296,9.2,0
92075,San Diego,0,0,1,22.9,3059,134,4.4,0
92078,San Diego,0,0,1,54.4,12359,1697,13.7,0
92081,San Diego,0,0,1,19.4,6646,192,2.9,0
92082,San Diego,1,1,1,85.1,6022,2863,47.5,1
92083,San Diego,0,0,1,0.0,6394,110,1.7,0
92084,San Diego,0,0,1,65.1,10445,1181,11.3,0
92086,San Diego,1,1,1,44.2,515,385,74.8,1
92091,San Diego,0,0,1,95.9,863,190,22.0,1
92101,San Diego,0,0,1,14.6,1934,74,3.8,0
92102,San Diego,0,0,1,12.6,6675,250,3.7,0
92103,San Diego,0,0,1,52.2,6079,269,4.4,0
92104,San Diego,0,0,1,27.6,8595,166,1.9,0
92105,San Diego,0,0,1,13.2,9853,527,5.3,0
92106,San Diego,0,0,1,1.5,5378,44,0.8,0
92107,San Diego,0,0,1,3.1,7050,81,1.1,0
92108,San Diego,0,0,1,37.6,1259,121,9.6,0
92109,San Diego,0,0,1,2.8,8998,97,1.1,0
92110,San Diego,0,0,1,21.5,4281,118,2.8,0
92111,San Diego,0,0,1,33.3,8799,268,3.0,0
92113,San Diego,0,0,1,0.0,6683,325,4.9,0
92114,San Diego,0,0,1,1.3,15078,288,1.9,0
92115,San Diego,0,0,1,22.7,10510,341,3.2,0
92116,San Diego,0,0,1,59.2,7124,300,4.2,0
92117,San Diego,0,0,1,41.9,14282,331,2.3,0
92118,San Diego,0,0,1,0.0,4672,26,0.6,0
92119,San Diego,0,0,1,57.2,6803,592,8.7,0
92120,San Diego,0,0,1,56.1,8745,535,6.1,0
92121,San Diego,0,0,1,78.7,790,146,18.5,1
92122,San Diego,0,0,1,27.4,5684,191,3.4,0
92123,San Diego,0,0,1,41.6,5238,123,2.3,0
92124,San Diego,0,0,1,75.8,5079,595,11.7,0
92126,San Diego,0,0,1,39.0,15264,762,5.0,0
92127,San Diego,0,0,1,86.7,11557,1753,15.2,1
92128,San Diego,0,0,1,38.8,11561,988,8.5,0
