zip,city,county,fy_2020,fy_2021,fy_2022,fy_2023,fy_2024
93291,Visalia,Tulare,3,7,39,20,66
93427,Buellton,Santa Barbara,2,12,39,39,66
94134,San Francisco,San Francisco,18,17,14,14,66
95923,Canyon Dam,Plumas,34,47,46,58,66
96071,Old Station,Shasta,27,38,44,51,66
91950,National City,San Diego,35,26,22,25,65
92107,San Diego,San Diego,42,40,42,45,65
93230,Hanford,Kings,5,5,16,17,65
93312,Bakersfield,Kern,10,17,15,22,65
92109,San Diego,San Diego,36,32,29,33,64
92708,Fountain Valley,Orange,14,15,12,18,64
94954,Petaluma,Sonoma,1,3,18,24,64
95449,Hopland,Mendocino,12,18,26,61,64
90064,Los Angeles,Los Angeles,54,53,46,45,63
90717,Lomita,Los Angeles,65,61,58,57,63
94402,San Mateo,San Mateo,4,8,13,23,63
95838,Sacramento,Sacramento,60,45,40,39,63
96016,Cassel,Shasta,10,14,18,28,63
93591,Palmdale,Los Angeles,24,22,25,37,62
94124,San Francisco,San Francisco,36,32,32,35,62
92121,San Diego,San Diego,6,9,12,18,61
92123,San Diego,San Diego,9,10,10,22,61
93301,Bakersfield,Kern,37,31,26,30,61
95215,Stockton,San Joaquin,48,35,36,32,61
90057,Los Angeles,Los Angeles,75,67,72,73,60
90405,Santa Monica,Los Angeles,51,50,51,57,60
93004,Ventura,Ventura,3,9,14,22,60
94121,San Francisco,San Francisco,9,11,12,15,60
94559,Napa,Napa,6,13,27,35,60
92083,Vista,San Diego,11,14,14,26,59
92268,Pioneertown,San Bernardino,0,0,31,53,59
94536,Fremont,Alameda,10,9,11,19,59
94539,Fremont,Alameda,4,3,8,17,59
91607,Valley Village,Los Angeles,40,36,39,32,58
94610,Oakland,Alameda,15,13,15,23,58
96048,Junction City,Trinity,33,41,39,48,58
90025,Los Angeles,Los Angeles,48,47,42,39,57
93603,Badger,Tulare,30,42,55,61,57
95318,El Portal,Mariposa,24,29,44,49,57
95721,Echo Lake,El Dorado,49,70,56,57,57
95724,Norden,Placer,14,21,29,32,57
90277,Redondo Beach,Los Angeles,42,42,39,43,56
90502,Torrance,Los Angeles,43,44,43,42,56
93641,Miramonte,Fresno,33,47,54,64,56
94030,Millbrae,San Mateo,3,5,6,17,56
94114,San Francisco,San Francisco,11,13,12,16,56
94118,San Francisco,San Francisco,15,17,19,19,56
94521,Concord,Contra Costa,5,6,5,17,56
91602,North Hollywood,Los Angeles,19,19,20,27,55
93544,Llano,Los Angeles,25,30,32,38,55
94002,Belmont,San Mateo,7,9,13,18,55
94131,San Francisco,San Francisco,17,14,13,19,55
94531,Antioch,Contra Costa,8,6,5,10,55
94533,Fairfield,Solano,12,6,6,20,55
95552,Mad River,Trinity,36,43,45,53,55
93208,Camp Nelson,Tulare,0,0,0,0,54
94116,San Francisco,San Francisco,9,10,11,11,54
94951,Penngrove,Sonoma,4,8,14,29,54
95459,Manchester,Mendocino,15,19,24,34,54
96087,Shasta,Shasta,4,10,20,30,54
90621,Buena Park,Orange,30,22,19,26,53
90712,Lakewood,Los Angeles,44,37,32,42,53
91101,Pasadena,Los Angeles,39,35,37,49,53
93501,Mojave,Kern,17,19,17,19,53
94587,Union City,Alameda,8,8,5,7,53
95045,San Juan Bautista,San Benito,16,24,27,30,53
95526,Bridgeville,Trinity,38,46,47,57,53
90248,Gardena,Los Angeles,44,39,43,44,52
92274,Thermal,Riverside,16,15,17,24,52
92637,Laguna Woods,Orange,3,3,2,7,52
92646,Huntington Beach,Orange,7,12,13,17,52
93722,Fresno,Fresno,26,20,21,26,52
94528,Diablo,Contra Costa,3,4,7,13,52
94547,Hercules,Contra Costa,2,2,3,8,52
94973,Woodacre,Marin,23,28,34,54,52
95043,Paicines,San Benito,13,27,39,54,52
96062,Millville,Shasta,16,22,25,38,52
90266,Manhattan Beach,Los Angeles,29,25,29,32,51
90620,Buena Park,Orange,21,22,15,26,51
91204,Glendale,Los Angeles,51,49,41,45,51
92629,Dana Point,Orange,7,7,13,22,51
93215,Delano,Kern,27,33,27,38,51
94127,San Francisco,San Francisco,6,4,4,6,51
94956,Point Reyes Station,Marin,14,25,35,48,51
95232,Glencoe,Calaveras,23,25,39,49,51
95828,Sacramento,Sacramento,7,6,6,11,51
96056,Mcarthur,Lassen,6,14,18,55,51
90211,Beverly Hills,Los Angeles,35,32,30,35,50
