zip,zip_area_km2,fhsz_high_pct
94597,10.31,0.1
94598,39.46,40.4
94599,7.57,8.7
94601,8.85,0.0
94602,8.63,42.3
94603,8.56,0.0
94605,23.31,64.2
94606,6.62,0.0
94607,18.39,0.0
94608,8.8,0.0
94609,4.48,0.0
94610,6.09,0.3
94611,27.26,75.0
94612,2.29,0.0
94613,0.67,0.0
94618,6.25,27.6
94619,44.16,90.1
94621,24.74,0.0
94702,3.21,0.0
94703,3.46,0.0
94704,2.69,27.5
94705,8.54,75.5
94706,3.75,0.0
94707,4.5,35.0
94708,8.88,91.6
94709,1.47,11.8
94710,11.47,0.0
94720,1.6,59.2
94801,45.74,0.0
94803,29.9,59.1
94804,22.9,0.0
94805,5.09,19.5
94806,22.29,0.6
94850,0.14,0.0
94901,43.64,0.4
94903,53.58,32.1
94904,19.51,35.0
94920,30.54,0.3
94922,32.08,3.9
94923,59.29,24.2
94924,70.88,14.9
94925,10.85,0.1
94928,20.05,0.0
94929,2.66,0.0
94930,42.31,57.6
94931,16.71,0.0
94933,2.74,100.0
94937,136.18,8.9
94938,27.32,23.9
94939,5.58,13.2
94940,68.52,43.9
94941,59.5,58.5
94945,69.53,21.3
94946,117.03,82.8
94947,59.15,66.6
94949,42.23,27.2
94950,22.22,0.1
94951,38.02,24.3
94952,469.51,29.9
94954,166.58,31.6
94956,181.29,16.7
94957,2.82,0.1
94960,15.49,3.2
94963,7.01,99.9
94964,0.96,0.0
94965,46.16,5.0
94970,17.97,59.5
94971,37.17,0.5
94972,32.72,0.0
94973,10.31,94.8
95002,36.97,0.0
95003,94.44,54.8
95004,46.95,78.2
95005,31.72,76.4
95006,138.92,100.0
95007,1.37,79.8
95008,16.49,0.0
95010,4.22,0.0
95012,40.79,1.1
95013,4.0,18.6
95014,70.27,58.6
95017,136.02,82.6
95018,48.89,65.0
95019,2.97,0.0
95020,406.19,62.7
95023,1070.17,70.8
95030,26.96,81.7
95032,41.74,66.2
95033,239.39,96.9
95035,60.39,16.4
95037,635.71,81.5
95039,43.13,0.0
95041,0.07,100.0
95043,2225.6,80.3
95045,122.63,53.2
95046,50.72,37.3
95050,13.91,0.0
95051,17.26,0.0
95053,0.3,0.0
95054,16.22,0.0
95060,184.09,51.1
95062,16.24,0.0
95064,4.94,0.4
95065,28.9,58.9
95066,49.29,69.1
95070,65.83,69.1
95073,54.94,78.5
95075,241.81,81.1
95076,361.18,48.1
95110,12.13,0.0
95111,14.11,0.0
95112,18.33,0.0
95113,0.91,0.0
95116,9.32,0.0
95117,6.85,0.0
95118,10.95,0.0
95119,7.46,19.9
95120,105.13,63.1
95121,11.42,0.0
95122,12.17,0.0
95123,21.36,0.3
95124,16.8,0.4
95125,20.54,0.0
95126,8.62,0.0
95127,33.68,44.6
95128,10.03,0.0
95129,11.56,0.0
95130,4.22,0.0
95131,14.96,0.0
95132,137.19,78.4
95133,8.41,0.0
95134,25.54,0.0
95135,79.22,81.4
95136,12.33,0.0
95138,67.6,57.5
95139,3.18,7.8
95140,320.4,99.9
95148,24.57,39.0
95202,2.78,0.0
95203,17.58,0.0
95204,13.94,0.0
95205,23.74,0.0
95206,395.43,0.0
95207,19.33,0.0
95209,21.91,0.0
95210,17.47,0.0
95211,0.46,0.0
95212,56.09,0.0
95215,245.54,0.0
95219,167.44,0.0
95220,150.6,0.0
95222,400.03,77.6
95223,747.6,10.6
95224,29.48,55.7
95225,18.3,99.4
95226,15.26,93.1
95227,103.52,0.4
95228,280.12,99.7
95230,311.58,46.1
95231,27.61,0.0
95232,20.2,54.7
95233,17.98,22.8
95234,92.32,0.0
95236,281.83,3.8
95237,20.95,0.0
95240,215.57,0.0
95242,255.01,0.0
95245,177.37,87.5
95246,135.16,90.9
95247,108.72,87.4
95248,82.68,83.8
95249,219.55,85.8
95250,27.65,86.4
95251,28.32,84.4
95252,336.98,93.2
